FACTOR,,,,FACTOR → VARIABLE,,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,FACTOR → floatlit,FACTOR → intlit,,,
,,,,FACTOR → FUNCTIONCALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMS,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function OPTFUNCHEAD1 id lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id sr constructor lpar FPARAMS rpar,,,,,,,,,,
FUNCTIONCALL,,,,FUNCTIONCALL → REPTFUNCTIONCALL0 id lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST,,,,IDNEST → id REPTIDNEST1 dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IDNEST → id lpar APARAMS rpar dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE REPTLOCALVARDECL4 semi,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE lpar APARAMS rpar semi,,,,,,,,,
LOCALVARDECLORSTMT,,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTMT → LOCALVARDECL,,,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE0,,,,REPTVARIABLE0 → IDNEST REPTVARIABLE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REPTVARIABLE0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE2,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,,,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → INDICE REPTVARIABLE2,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START → REPTSTART0,,,,,,,,START → REPTSTART0,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,STATBLOCK → &epsilon,,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → ASSIGNSTAT semi,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STATEMENT → FUNCTIONCALL semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,TERM → FACTOR RIGHTRECTERM,,,,,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,VARIABLE → REPTVARIABLE0 id REPTVARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → &epsilon,VISIBILITY → &epsilon,,VISIBILITY → &epsilon,,,,,,,,,,
